text,labels
"Methods Using a double-blinded randomized design, forty-four anesthesiology trainees and faculty completed a simulated anesthetic case using an aerosol box contaminated with a fluorescent marker; half of the subjects received a visual aid prior to the simulation.",0
"The primary outcome was hospital length of stay, defined as hospital discharge from the date of randomization or death.",0
"In three of the studies, the patients' survival and mortality rate were evaluated.",0
A video of a man committing suicide by jumping from a hotel in Italy after his entire family died because of the coronavirus.,1
There is a case of COVID-19 on the Rohero campus of the University of Burundi.,1
METHODS: This was a retrospective study that included 1000 patients with type 2 diabetes mellitus who attended a screening program for DR.,0
"Pragya Kathua, a comedian from Odia, has died.",1
"Man recovered from Covid-19 in Jordan, and his family celebrated it by firing shots, and they wounded him, which led him to go back to the hospital.",1
"Moreover, within the US, an early and persistent feature of the pandemic has been the disproportionate impact on populations already made vulnerable by racism and dangerous jobs, inadequate wages, and unaffordable housing, and this is true for both the headline public health threat and the additional disastrous economic impacts.",0
Core dysfunction modules related to SINFH was obtained.,0
About 500 lions have been released on the streets of Russia to stop people going out during the coronavirus pandemic.,1
"We used Medline, PubMed, Epistemonikos, Cochrane Database, and preprint servers for systematic reviews.",0
"Although adequate for an acute infectious disease outbreak, existing capacity in U.S. biocontainment units and airborne infection isolation rooms is not sufficient for widespread infection control and isolation during a pandemic.",0
"In this video, Portuguese governement asked its citizens living abroad not to come back this summer, due to COVID-19 pandemics, and will maintain its confinement dispositions",1
"RESULTS: The study protocol has been presented to our regional ethics committee (Req-2020-01262), which issued a declaration of no objection as such projects do not fall within the scope of the Swiss federal law on human research.",0
Only a handful of studies have leveraged agent-based models (ABMs) to examine public health outcomes and policy interventions associated with uneven urban food environments.,0
These data support the use of charged sodium channel blockers for the selective inhibition of airway sensory neurons with activated large pore channels as a novel targeted therapy for treating cough.,0
Rigorous COVID-19 guidelines have been instituted to mitigate the risk of viral transmission.,0
Methods: Online survey data were collected from 1062 college students in South Carolina between September and October 2020.,0
A poem about people staying home was written by Kathleen O’Mara in 1869.,1
Daughter of Santander’s CEO in Portugal shared a message about her father’s death from COVID-19.,1
"However, among hypertensive cases, only the NLR was statistically significant.",0
A video showing rows of black body bags sprawled on the floor was taken from East Avenue Medical Center (EAMC).,1
The Portuguese soccer player Cristiano Ronaldo decided to turn his hotels into free hospitals,1
CONCLUSIONS: The study presents further evidence of changing mortality in the UK.,0
Woman committed suicide due to the coronavirus lockdown.,1
"Among older adolescents with greater ELS severity, a higher UF FDC was associated with fewer internalizing problems.",0
"In the video, the woman who is asking to take the coronavirus seriously is the wife of the Prime Minister of Canada.",1
Georgian doctor created medicine Corvirant which treats coronavirus.,1
"While certain topics were omitted or reduced in scope, others—especially those related to digital instruction—were introduced or expanded.",0
Studies show the coronavirus was engineered to be a bioweapon.,1
"Exactly every 100 years, a viral epidemic breaks out.",1
Multiple Facebook posts shared hundreds of times claim that Bill Gates’ “ultimate goal” is to “microchip the [COVID-19] vaccine” to create “virtual IDs”.,1
"By using phylogenetic analysis, we attributed the community outbreak to 2 lineages; 1 harbored a common mutation, Orf3a-G251V, and accounted for 88.0% of the cases in our study.",0
"Kenya has received a donation of 500,000 COVID-19 test kits from the Jack Ma Foundation.",1
"Intubation first-pass success rate was 85%, first-line videolaryngoscopy use 79%, oxygen desaturation 49%, and hypotension 21%.",0
"Photos show Maju Coutinho (a well known Brazilian journalist) walking around in Leblon beach with her boyfriend, even though she is urging people to stay inside during the pandemic.",1
"As a result, the antimicrobial activity of the surface of the hands was found to be positively associated with the history of infection in individuals.",0
"Because of the global quarantine, the WHO and the Ecuadorian government have given a weekly bonus to each family for food and medicine.",1
Lion walking in a road and is going to Vaishno Devi shrine during lockdown.,1
"In addition, lifestyle modifications during isolation and a higher stress level may promote atrial fibrillation episodes to be refractory to other therapeutic approaches than electrical cardioversion.",0
"The global spread of COVID-19, subsequent stay-at-home requirements, spatial distancing measures, and long-term isolation present additional challenges for persons in recovery.",0
A video viewed thousands of times on Facebook posts claims to show Indians throwing statues of their gods into a river after they allegedly failed to protect them from the new coronavirus.,1
Our data set contained questions posted online from a Computer Science course at the University of Bath.,0
SARS-CoV-2 infection was confirmed by reverse-transcriptase–polymerase-chain-reaction.,0
This systematic review delineates and summarises recently published data on MIS-C from LMICs and developed countries.,0
"A video of a fire erupting inside a vehicle has been viewed hundreds of times on Facebook, Twitter and on messaging app Line in March 2020 alongside a claim it shows an explosion that was sparked by an alcohol-based disinfectant used during the novel coronavirus pandemic.",1
The serial interval and the generation time are key parameters for assessing the dynamics of a disease.,0
"According to DW, Venezuela is the only country that took advance measures against the outbreak.",1
"At least 1 virus was detected from 909 (90%) and 235 (91%) LRTI and severe LRTI episodes, respectively.",0
"Using a multivariable analysis, CRP ≥0.3 mg/dL and fibrinogen >400 mg/d",0
The ridership reduction stems primarily from a lower number of active public transport travellers.,0
"COVID-19 is a respiratory disease caused by a novel coronavirus that quickly spread worldwide, resulting in a global pandemic.",0
"After completion of SARS-CoV2-specific immunoglobulins, and T cells tests at 2-week and 3-month follow-up points after discharge, 87 were enrolled.",0
This poem describes people applying social distancing during a plague outbreak from the 19th century.,1
No clinically proven drugs are available yet as the targeted therapeutic agents for the treatment of this disease.,0
This is the third and most extensive pandemic.,0
"Drinking different types of tea can cure coronavirus, that were prescribed in Wuhan by Li Wenliang",1
We determine epidemiological distributions for patients hospitalized with COVID-19 using a large dataset (N = 21 000 − 157 000) from the Brazilian Sistema de Informação de Vigilância Epidemiológica da Gripe database.,0
232 kids died from COVID-19 in Italy in one day.,1
"However, certain research applications in particular in molecular biology require incomplete denaturation of the proteins, which might cause safety issues handling contaminated samples.",0
"A purported news report claims that Philippine President Rodrigo Duterte approved the release of P20,000 (USD $400) to all recipients of the Philippines’ Social Security System (SSS) to help them through the novel coronavirus pandemic.",1
"The Bombay High Court in Mumbai City has extended the lockdown in the state of Maharashtra till April 30, 2020.",1
"“Coronavirus in China: more than 30 million quarantined, 2.8 million infected; 112,000 dead!",1
WhatsApp group admins will be arrested if anyone shares any joke/information about the coronavirus.,1
This map shows movement of Wuhan residents worldwide.,1
"The pandemic also had a substantial socio-economic impact (health budget, industrial manufacturing, job loss, and unemployment) and further aggravated the countries' economic burden.",0
We explore human mobility patterns as a measure of behavioural responses during the COVID-19 pandemic.,0
"Video shows migrant going to their home states from Maharashtra, India, throwing food packets on the railway platform.",1
"In a seemingly careless message being sent as an e-mail, recipients in Greek are warned that if a company (shop) has to shut down because of the new coronavirus or staff illness or other reason, the sender must notify the sender of that message about the termination of the employment of an employee.",1
Vice President Mike Pence was caught on a hot mic delivering empty boxes of personal protective equipment (PPE) to a Virginia health care center.,1
"The IoCT architecture is based on the Sensor Web paradigm that connects various Things, Sensors, and Datastreams with an indoor geospatial data model",0
They developed intelligent algorithms and use sensor data to determine climate setpoints and crop management strategy.,0
Spaniards are violating quarantine rules.,1
"“Autopsies prove that COVID-19 is” a blood clot, not pneumonia, “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic.",1
"The proposed recognition method was tested with different three standard machine learning algorithms (Decision Tree (DT), K Nearest Neighbor(KNN), Support Vector Machine (SVM)).",0
Barack Obama has urged Africans to reject any COVID-19 vaccine produced by the United States and Europe.,1
"Videos showed an Italian boy whose mother just died of COVID-19 was shouting to the sky, asking for his late mother.",1
"Overall, T cell responses to SARS-CoV-2 are robust; however, CD4+",0
People looted a supermarket in São Vicente (city in Sao Paulo state) because of the lockout.,1
"Muslims are throwing currency notes on roads to spread coronavirus in Indore, a city in India.",1
The aim of our study is to understand the incidence of COVID-19 in a large cohort of patients with IBD.,0
"A fighter aircraft crashed in Tenjin, China.",1
"Asymptomatic people are very rarely contagious, said the WHO.",1
An ancient Egyptian food consisting of dry Corchorus Olitorius with lemon and garlic can prevent and cure COVID-19.,1
CONCLUSION: Differentiating GCD and GCF with similar clinical course may necessitate multiple investigation before establishing the correct diagnosis.,0
The first cyclophosphamide and methylprednisolone infusion were given day 1 post-op.,0
A video shows coronavirus patients at an airport in China and gauges how serious the situation is.,1
Novel coronavirus is being spread via Coca-Cola.,1
Russian President Vladimir Putin releases 800 tigers and 500 lions amid the coronavirus outbreak to keep people at home.,1
COVID-19 deaths in the Brazilian state of Amazonas fell after visit of new minister of Health.,1
The Province of Buenos Aires established the mandatory use of face mask from April 13.,1
ICMR study claims COVID-19 cases to peak in mid November causing paucity of ICUs and Ventilators.,1
The results also demonstrate that the DEMATEL method provides convenient solutions for quarantine decisions during a pandemic The DEMATEL application results concerning the COVID-19 pandemic effect might shed light on the hospitality industry’s prospects and challenges,0
"Potential therapy may include the following items: First, using mesenchymal stem cells secretome.",0
A search of the online database through June 2020 was performed and examined the reference lists of pertinent articles for in-vivo studies only.,0
“People are going door to door in Colorado Springs stating they are COVID-19 testing so they can rob people!”,1
"Data were collected through a questionnaire administered to a sample of 810 potential Spanish spa-goers, and consistent partial least squares (PLSc) structural equation modeling (SEM) was used.",0
"In the wake of this pandemic are patients, family members, and various types of care providers, all of whom share different levels of moral distress.",0
Arnab Goswami wets his pants when called upon by Mumbai Police for interrogation.,1
"Compared with the middle-aged adults, the young-old and old-old were more likely to be single and to have a lower level of education and income, with the old-old having lower levels than the young-old (P < 0.001).",0
"After resigning from his post as Minister of Health, Nelson Teich said he could not work with Jair Bolsonaro because he couldn’t work with someone who put his own mediocrity and ignorance before science.",1
"One article of “Le Parisien” French journal, published in 2013, reveals that COVID-19 was created by Chinese scientists.",1
Trump web ad usings misleading edits to create a false picture.,1
Trump Is Promising To Send Americans Checks – Only After Checking People’s Social Media History.,1
People have thrown currency notes on road to spread the COVID-19 infection.,1
Group immunity will not be achieved soon according to an audio message circulating in Mexico.,1
To rapidly review recently-published literature on the mental health of HCWs during the COVID-19 pandemic.,0
"We analyzed the content of ∼ 20,000 posts on 41 Facebook groups devoted to wild pet trade and ran a breakpoint and a content analysis to assess when and how the COVID-19 pandemic was incorporated into the discourse within trade communities.",0
There are more variety of clades in southern parts of Bangladesh than the northern parts.,0
"Ethiopia reports 2144 new infections with the novel coronavirus, bringing the total number to 63,000.",1
"Towards the halo, in front of the NGC 4839 group, the radio brightness decreases and streams of radio emission connect the NGC 4839 group to the radio relic.",0
"Six months post-parathyroidectomy, BMD increased by 42% at the lumbar spine, 30% at the femoral neck and 25% at the total proximal femur, with increases sustained over the following 18 months.",0
"Coronavirus (COVID-19) is a “mix of SARS, HIV, tuberculosis and malaria.”",1
RESULTS: Patients were 49.64 ±8.90 years old (78% male) with body mass index of 26.70±2.76 kg/m(2).,0
"Older adults who engaged in more community activities before the pandemic, reported leaving their home less, and experienced a longer absence of social interaction since the pandemic all had significantly increased odds of feeling lonelier in the COVID-19 era.",0
"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim it shows a Koran recitation in Italy as part of the government’s effort to fight the novel coronavirus pandemic.",1
French summer holidays have been rescheduled to the end of July.,1
Women’s inhouse gatherings are banned due to the outbreak.,1
Multiple Facebook posts shared hundreds of times claim patients infected with the novel coronavirus will experience respiratory symptoms that progress in severity in three distinct stages.,1
"From our analysis of the available studies to date, it appears that a relationship is emerging in regard to patients with a smoking history having a higher likelihood of developing more severe symptoms of COVID-19 disease than non-smokers.",0
Madrid ex-mayor Manuel Carmena has coronavirus.,1
Fifty-four publications were identified from four research traditions; each with a unique conceptualisation of patient experience.,0
"This virus can inactivate most of the elements in the immune system, that are designed to protect against the incursions of viruses, bacteria and other pathogens.",0
Methods: PCR and serological testing was performed on 394 individuals.,0
"These questionnaires were applied face-to-face to psychiatric male inpatients from a tertiary psychiatric hospital in Bucharest diagnosed with SMI or severe alcohol disorder (SAUD) and to male controls from the community, matched by age and education.",0
Suspected and confirmed cases should be treated in a designated hospital with effective isolation and protective conditions.,0
Serbian PM stated that citizens of South Korea have to pay to get tested for the coronavirus.,1
Was National Stockpile Website Edited After Jared Kushner’s Comments?,1
The COVID-19 pandemic has rapidly modified Earth’s social-ecological systems in many ways; here we study its impacts on human-nature interactions.,0
"Moreover, mass-spectrometry analysis revealed that HST also interacts, independently of its N-terminal domain, with the mediator complex subunit MED37.",0
A German lawyer was forcibly placed in a psychiatric hospital because she opposed the preventive measures taken against COVID-19.,1
A screenshot shows a report from the media outlet Focus.,1
Korean drama predicted the occurrence of COVID-19 in 2018.,1
A coronavirus vaccine was patented in 2004.,1
"Nurse Komal Mishra from Pune, India, has died due to COVID-19 while treating patients.",1
"While western countries have been busy fighting the new coronavirus, international terrorism has stopped.",1
"Considering that aerosol therapy generates fugitive emissions that are not inhaled by the patient and are released from the device during expiration, several international professional bodies have provided recommendations for drug delivery via inhalers and in particular, nebulizers.",0
Study shows that flu shots result in a 36% higher risk of coronavirus infection.,1
"Furthermore, we propose a dual-sampling modulated Dice loss for the training such that our proposed dual-branch network is able to segment hard exudates in different sizes.",0
"This burden is largely explained by health care disparities, lifestyle factors, cultural barriers, and disparate exposures to carcinogens and pathogens, as exemplified by the COVID-19 epidemic.",0
The coronavirus pandemic was planned by Rockefeller back in 2010.,1
"Worldwide, government leaders and decision makers are implementing policies to deliver health care services using technology and more so in response to the novel COVID-19 pandemic.",0
RESULTS: All six patients were of recent African ancestry.,0
People who got a flu shot are at a greater risk from COVID-19.,1
Influenza vaccines contain the coronavirus and increase the spread of COVID-19.,1
COVID-19 vaccine trial killed 7 children in Senegal.,1
The objective of this study was to demonstrate the effects of community-based social distancing interventions after the first coronavirus disease 2019 (COVID-19) case in Turkey on the course of the pandemic and to determine the number of prevented cases.,0
"MY-AgNPs had good antibacterial activity against Escherichia coli and Salmonella at room temperature with minimum inhibitory concentrations of 10(–4) and 10(–5) g/L, respectively.",0
"Finally, The Washington Times admits that Sars-cov2 was created in the laboratory.",1
We hypothesize that mitochondria targeting might complement the known interferon antagonist functions of NP or alter the cell’s metabolic state.,0
Understanding severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection and transmission in educational settings is crucial for ensuring the safety of staff and children during the COVID-19 pandemic.,0
Efficacious vaccines are available against the two bacteria and the influenza virus.,0
A claim that hand sanitiser contains ethylene glycol and risks poisoning pets if they are patted after using it.,1
"Claim that despite the fact that the crisis headquarters in the North Macedonian town of Stip announced that the textile factories in Stip will be closed due to established cases of coronavirus infections, some of the factories are still working.",1
The protegrin-4 precursor was identified by MALDI-TOF/TOF directly on the tissue cryosections.,0
OBJECTIVE: Rapid testing is paramount during a pandemic to prevent continued viral spread and excess morbidity and mortality.,0
People in Italy are threw away their money after they lost their family members to coronavirus.,1
"A Facebook post advertising lockdown relief funds worth Ksh 5,000 for Kenyans.",1
"PJI was defined as the presence of sinus tract, inflammation in histopathological samples, and growth of the same microorganism in a minimum of two or more samples out of at least four taken.",0
URT specimens included nasopharyngeal (NP) swabs and aspirates.,0
The Spanish president’s wife and daughter went to Cuenca to quarantine.,1
Photo taken by NASA on 4/5/20 when candles and diyas were lit at 9 p.m. for nine minutes.,1
"Additionally, MVA distributes the solutions in the feasible region similarly to the nature of big bangs.",0
Dr. Lupita Yamamoto has found a vaccine that destroys the coronavirus.,1
"The police officers have arrested the man for not wearing a face-mask,  although they are not wearing masks, after regulations came into effect requiring people in Kenya to wear face masks in public or risk arrest.",1
70 Muslims who attended the Tablighi Jamaat event in Delhi are misbehaving with the staff in Belagavi in Karnataka.,1
"In sequencing of SARS-CoV-2 infections collected after October 2020, the relative rarity of this constellation of mutations may make it possible to identify infections that likely descend from the White House COVID-19 outbreak.",0
"In this scenario of contradicting information, practicing oncologists struggle with reaching an informed decision on whether genetic testing should be applied before treatment.",0
5G is being secretly installed in Croatia in the shadow of the coronavirus pandemic.,1
Ricin is a toxin found in the castor seeds and listed as a chemical weapon by the Chemical Weapons Convention (CWC) due to its high toxicity combined with the easiness of obtention and lack of available antidotes.,0
"To understand the molecular basis of vaccine-induced protection, we generated a panel of oligosaccharide fragments of different lengths and tested them with polyclonal and monoclonal antibodies by inhibition enzyme-linked immunosorbent assay, surface plasmon resonance, and competitive human serum bactericidal assay, which is a surrogate for protection.",0
"The narration says that since Myanmar people eat rice, fish paste and vegetables, they don’t need to worry about coronavirus infections as their immune systems are stronger than those of people from the west.",1
"Image of a market practising social distance claimed to be from a city Aizwal, in India.",1
"Prone positioning in spontaneously breathing children has, to our knowledge, not yet been described.",0
"A few days ago, he refused to close madrasas and mosques.",1
Many foreigners wiped their saliva onto the handle of Taipei’s metro to spread COVID-19.,1
"Methods Participants from two ongoing cohorts, the Norwegian Mother, Father and Child Cohort Study (MoBa) and The Norwegian Influenza Pregnancy Cohort (NorFlu), answered questionnaires every 14 days since March 2020.",0
Robbers give masks soaked in chemicals in order to rob people.,1
"Eligible PT voters should reject it and denounce it, since it is being paid by a “fascist government.”",1
He has no other health conditions of note.,0
"CONCLUSION: By using an actual pathogenic threat, our results support previous findings that men’s preferences for female faces are shifted to less feminine faces under pathogenic threat.",0
The risk of malignancy for IPMNs with MPD ≤8 mm (pancreatic head) or ≤6 mm (pancreatic body-tail) lacking high-risk stigmata or multiple worrisome features is low.,0
Coronavirus firstly appeared in June 2019.,1
"Results: By August 28, 2020, 2,665 COVID-19 infections were reported in Frankfurt am Main (incidence 351/100,000 inhabitants), including 116 (4.3%) residents of nursing homes (2,416/100,000 residents).",0
"The WHO has reported more than 50,000 confirmed cases and more than 1,000,000 confirmed deaths around the world.",0
The government of Columbia has a bill “ready” to close down the whole country in eight days,1
We will test for an interaction between COVID-19 status and HFRS.,0
"RESULTS: Eight thousand three hundred fifty-eight abstracts were reviewed from four databases, 474 full-text articles were evaluated, 58 articles were included, and the Split Approach revealed six categories/themes centered around the Innate, Individual, Relational and Societal Rings of Personhood, conflicts in providing end of life care and coping mechanisms employed.",0
Indian PM Modi is providing free masks to people under Swachh Bharat Mission to protect them from the coronavirus outbreak.,1
"To the best of our knowledge, this is the first study that demonstrates the effect so persistently at so many measurement points for over 20 years.",0
Concurrent validity and reliability were examined.,0
Corresponding time period in 2019 was used as reference.,0
DESIGN: This is a retrospective case series describing the feasibility and tolerability of postextubation prone positioning (PEPP) and its impact on physiologic parameters in a tertiary intensive care unit during the COVID-19 pandemic.,0
Rapid and sustained transmission of SARS-CoV-2 was associated with multiple social gatherings.,0
"When co-administered with transplanted human induced pluripotent stem cell-derived hNSCs in a mouse model of a prototypical neurodegenerative disease, the agonist enhanced migration, dissemination, and integration of donor-derived cells into the diseased cerebral cortex (including as electrophysiologically-active cortical neurons) where their secreted cross-corrective enzyme mediated a therapeutic impact unachieved by cells alone.",0
Several studies suggest resistance training (RT) while supplementing with various protein supplements can enhance strength and muscle mass in older individuals.,0
Nostradamus predicted the current COVID-19 pandemic.,1
The challenges surrounding the immigration backlog are contributing to significant hardships and remain a hurdle to expand healthcare access to the rural and medically underserved communities.,0
Childhood exposure to parental smoking is associated with increased risk of overweight/obesity over the life-course.,0
Italian Prime Minister Conte has foregone 20% of his salary due to COVID-19.,1
Pope Francis and two of his aides have been infected with COVID-19.,1
COVID-19 can be read on a tank car image taken in 2019.,1
The company knew about the coronavirus back in 2019.,1
"China has announced the success of Egyptian serum form Dr. Hala, Health Minister of Egypt, against coronavirus",1
"The predictive nomogram included high eosinophil percentage (100 points), high C-reactive protein (93 points), high alanine transaminase (84 points), low albumin (79 points), and high white blood cell (64 points), which generated an area under the curve of 0.873 for the model group and 0.905 for the validation group.",0
"Furthermore, while tremendous strides have been made in treatment strategies and vaccinations, the impact of these in transplant recipients may be attenuated in the setting of their immunosuppression.",0
Andalusia proposes that students must repeat their classes (not on March 26).,1
Specialty care for children with sickle cell disease (SCD) may be disrupted during the coronavirus (COVID-19) pandemic.,0
A WhatsApp message resembling an Nigerian CDC circular says Nigeria has not placed a travel ban or provided quarantine measures for travellers from countries with coronavirus cases.,1
Photos show a well-stocked vegan shelf while other items are cleared out.,1
"Conclusion Therefore, guidelines should be provided for the off-label use of these drugs by policymakers and stakeholders during a pandemic emergency due to high demands.",0
A video of a supermarked being ransacked.,1
We’re in a battle against a virus that is in the air.,1
Researchers developed a drug that can cure COVID-19 in 3 days.,1
Information about techniques that are adjuvant to ventilatory support is superficial and require further investigation.,0
This photo shows a new coronavirus case in New South Wales.,1
"For the selection of articles, the following databases will be consulted: PubMed, EMBASE, LILACS, Web of Science, Science Direct, Scopus, Livivo and CINAHL.",0
Indian government deploying the army in Telangana to curb the coronavirus situation,1
Our study shows that nearly 1/3 of Chinese medical workers suffer from insomnia nearly a month after the COVID-19 outbreak.,0
"Even under our most pessimistic assumption of persistent negative exponential decay, the S-antibody was predicted to remain detectable in 95% of participants until 465 days [95% CI 370-575] after symptom onset.",0
"The same pattern was found on data from Greek citizens (N=129, p<0.041).",0
"RESULTS: This systematic review included 43 studies, including 18,246 patients.",0
"The prototype SCT (pSCT), comprising a 9.7 m diameter primary mirror and a partially instrumented camera with 1536 pixels, has been constructed at the Fred Lawrence Whipple Observatory.",0
A Facebook post defending the government’s role in current NHS equipment shortages was written by Jennifer Saunders.,1
"Few reports speculated about the prognostic implications of anticancer therapy, including immunotherapy, in lung cancer patients with concomitant Sars-Cov-2 infection, showing, to date, inconsistent results.",0
We conclude that cytokine storm resulting from SARS-CoV-2 infection might play a role in AIS patients with COVID-19.,0
Wearing a mask during an extended period leads to a lack of oxygen called “hypoxia”.,1
A post says that there were no cases of COVID-19 in Beijing and Shanghai.,1
The publication is accompanied by a photo.,1
DISCUSSION: Our findings suggest reduced access to and utilization of STD and HIV services coupled with a continuation of behaviors which confer STD/HIV risk.,0
This is a photo of people who died because of COVID-19 attacking the police in Ecuador.,1
The novel coronavirus has been artificially created in a laboratory.,1
"However, this pattern was not uniform over time, since we identified a shift of high risk from the areas with the best socio-economic conditions to those with the worst conditions.",0
America predicted the new coronavirus outbreak 9 years ago.,1
Is This a Real Letter from Trump to US Sen. Chuck Schumer?,1
A subsample also completed a survey about their experience at home during COVID-19.,0
"All isolates were identified as C. auris by Vitek2, MALDI-TOF MS, PCR amplification and/or PCR-sequencing of rDNA.",0
‘Laser’ thermometers damage the retina.,1
